Name,National_Count,NYC_Count,NYC % of National
Aahil,182,14,7.692%
Aaliyah,20686,251,1.213%
Aarav,1897,17,0.896%
Aaron,29803,621,2.084%
Aarya,648,10,1.543%
Aayan,384,13,3.385%
Abby,3827,42,1.097%
Abdoul,77,11,14.286%
Abdoulaye,137,18,13.139%
Abdul,447,20,4.474%
Abdullah,1380,62,4.493%
Abel,8243,26,0.315%
Abigail,50299,390,0.775%
Abraham,8460,228,2.695%
Abrielle,1102,11,0.998%
Abril,1254,10,0.797%
Ada,2773,33,1.190%
Adam,21042,499,2.371%
Adan,3485,20,0.574%
Addison,32745,48,0.147%
Adelaide,3749,31,0.827%
Adele,1827,45,2.463%
Adelina,1723,11,0.638%
Adeline,5342,24,0.449%
Adelyn,5576,10,0.179%
Aden,4546,55,1.210%
Adina,494,39,7.895%
Aditya,838,13,1.551%
Adonis,1375,37,2.691%
Adrian,28261,400,1.415%
Adriana,8426,132,1.567%
Adrianna,5954,78,1.310%
Adriel,2630,60,2.281%
Adyan,153,30,19.608%
Aharon,245,19,7.755%
Ahmad,1809,25,1.382%
Ahmed,2023,60,2.966%
Ahnaf,80,22,27.500%
Ahuva,257,18,7.004%
Aicha,191,36,18.848%
Aidan,11984,175,1.460%
Aiden,57510,738,1.283%
Aileen,2258,36,1.594%
Aimee,1418,13,0.917%
Aisha,2000,81,4.050%
Aissata,69,10,14.493%
Aissatou,131,27,20.611%
Aiza,373,19,5.094%
Akiva,340,52,15.294%
Alan,9749,214,2.195%
Alana,6888,49,0.711%
Alani,1853,12,0.648%
Alanis,513,37,7.212%
Alanna,2376,12,0.505%
Albert,2827,94,3.325%
Alberto,2390,26,1.088%
Alec,2500,11,0.440%
Aleena,2300,43,1.870%
Alejandra,3155,17,0.539%
Alejandro,10879,126,1.158%
Aleksandra,418,11,2.632%
Alessandra,3850,12,0.312%
Alessia,731,32,4.378%
Alex,15161,241,1.590%
Alexa,17132,218,1.272%
Alexander,61158,340,0.556%
Alexandra,13898,276,1.986%
Alexandria,6183,10,0.162%
Alexia,5463,47,0.860%
Alexis,26191,101,0.386%
Alfred,922,18,1.952%
Alfredo,2144,12,0.560%
Ali,4749,90,1.895%
Alice,10661,145,1.360%
Alicia,4405,31,0.704%
Alina,5375,122,2.270%
Alisa,1029,24,2.332%
Alisha,1257,11,0.875%
Alison,4651,39,0.839%
Alissa,1579,10,0.633%
Alisson,1193,11,0.922%
Aliyah,8590,73,0.850%
Aliza,1191,35,2.939%
Allan,1388,13,0.937%
Allen,3739,50,1.337%
Allison,21772,258,1.185%
Allyson,4490,34,0.757%
Alma,1434,44,3.068%
Alondra,4335,29,0.669%
Alonso,1346,10,0.743%
Alpha,167,27,16.168%
Alston,253,13,5.138%
Alvin,1871,70,3.741%
Alyssa,19080,177,0.928%
Amadou,173,31,17.919%
Amalia,1078,27,2.505%
Amanda,4746,85,1.791%
Amani,2323,10,0.430%
Amara,2135,12,0.562%
Amare,1936,25,1.291%
Amari,6409,63,0.983%
Amaya,5661,112,1.978%
Amber,4619,104,2.252%
Amelia,30363,192,0.632%
Amelie,1739,25,1.438%
Amia,1015,10,0.985%
Amina,1992,82,4.116%
Aminata,306,59,19.281%
Amir,6448,273,4.234%
Amira,2618,65,2.483%
Amirah,1477,22,1.490%
Amiya,1694,10,0.590%
Amiyah,3730,36,0.965%
Amy,8839,219,2.478%
Ana,5623,84,1.494%
Anabel,1095,11,1.005%
Anabella,2080,24,1.154%
Anabelle,2597,10,0.385%
Analia,989,12,1.213%
Ananya,729,10,1.372%
Anastasia,4354,59,1.355%
Anaya,2635,79,2.998%
Anayah,597,10,1.675%
Anderson,4872,65,1.334%
Andrea,11973,43,0.359%
Andres,7591,59,0.777%
Andrew,48585,309,0.636%
Andy,5046,142,2.814%
Angel,32387,453,1.399%
Angela,6663,115,1.726%
Angelica,3149,59,1.874%
Angelina,9462,184,1.945%
Angeline,1350,12,0.889%
Angelique,2949,32,1.085%
Angelo,4398,32,0.728%
Angie,2397,41,1.710%
Anika,2121,13,0.613%
Anisa,561,27,4.813%
Aniya,2593,26,1.003%
Aniyah,6158,45,0.731%
Anna,22256,283,1.272%
Annabella,4429,33,0.745%
Annabelle,13630,102,0.748%
Annalise,2487,12,0.483%
Anne,2137,24,1.123%
Annie,3590,48,1.337%
Annika,2246,10,0.445%
Anson,805,22,2.733%
Anthony,51184,613,1.198%
Anton,822,22,2.676%
Antonia,983,17,1.729%
Antonio,12307,79,0.642%
Anya,2862,25,0.874%
April,3079,24,0.779%
Arabella,5666,16,0.282%
Archer,3456,25,0.723%
Arely,1729,11,0.636%
Arham,230,12,5.217%
Ari,3282,73,2.224%
Aria,16277,214,1.315%
Arian,1586,11,0.694%
